ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-09-04,-1095.670001461875,-17231.851983116514,6652.970400763496,-1095.670001461875,-1095.670001461875,-4473.224692352052,-4473.224692352052,-4473.224692352052,-4473.224692352052,-4473.224692352052,-4473.224692352052,0.0,0.0,0.0,-5568.894693813927
2016-09-15,-382.98682422413486,-12427.447965685675,12596.01149542269,-382.98682422413486,-382.98682422413486,1050.8299683910407,1050.8299683910407,1050.8299683910407,1050.8299683910407,1050.8299683910407,1050.8299683910407,0.0,0.0,0.0,667.8431441669059
2016-10-03,783.2220112558037,-7904.026479156718,15935.417407307064,783.2220112558037,783.2220112558037,3353.7605489584403,3353.7605489584403,3353.7605489584403,3353.7605489584403,3353.7605489584403,3353.7605489584403,0.0,0.0,0.0,4136.982560214244
2016-10-04,848.0113910046889,-8697.880520762521,16908.21438513934,848.0113910046889,848.0113910046889,3102.315042879926,3102.315042879926,3102.315042879926,3102.315042879926,3102.315042879926,3102.315042879926,0.0,0.0,0.0,3950.3264338846147
2016-10-05,912.8007707535744,-9262.68952377161,15484.3534217922,912.8007707535744,912.8007707535744,2283.0625598105894,2283.0625598105894,2283.0625598105894,2283.0625598105894,2283.0625598105894,2283.0625598105894,0.0,0.0,0.0,3195.863330564164
2016-10-06,977.5901505024596,-10300.761741805396,14821.036922533607,977.5901505024596,977.5901505024596,1050.8299683921366,1050.8299683921366,1050.8299683921366,1050.8299683921366,1050.8299683921366,1050.8299683921366,0.0,0.0,0.0,2028.4201188945963
2016-10-07,1042.3795302513454,-10905.860597681323,13277.427983804322,1042.3795302513454,1042.3795302513454,334.50203127592755,334.50203127592755,334.50203127592755,334.50203127592755,334.50203127592755,334.50203127592755,0.0,0.0,0.0,1376.8815615272729
2016-10-08,1107.1689100002309,-16357.314946375369,8572.795727898803,1107.1689100002309,1107.1689100002309,-5651.245458963294,-5651.245458963294,-5651.245458963294,-5651.245458963294,-5651.245458963294,-5651.245458963294,0.0,0.0,0.0,-4544.076548963063
2016-10-09,1171.9582897491161,-16443.344213939257,9537.00012940456,1171.9582897491161,1171.9582897491161,-4473.224692336812,-4473.224692336812,-4473.224692336812,-4473.224692336812,-4473.224692336812,-4473.224692336812,0.0,0.0,0.0,-3301.2664025876957
2016-10-10,1236.7476694980016,-9089.724310018188,17069.46770333425,1236.7476694980016,1236.7476694980016,3353.760548948015,3353.760548948015,3353.760548948015,3353.760548948015,3353.760548948015,3353.760548948015,0.0,0.0,0.0,4590.508218446017
2016-12-23,6031.161770915524,-7560.444440546896,17209.98821281428,6031.161770915524,6031.161770915524,334.5020312786821,334.5020312786821,334.5020312786821,334.5020312786821,334.5020312786821,334.5020312786821,0.0,0.0,0.0,6365.663802194206
2017-01-05,6873.423707651037,-5876.953829204409,20471.03125721239,6873.423707651037,6873.423707651037,1050.8299683929656,1050.8299683929656,1050.8299683929656,1050.8299683929656,1050.8299683929656,1050.8299683929656,0.0,0.0,0.0,7924.2536760440025
2017-01-06,6938.213087399922,-5693.680434925099,18910.963039619644,6938.213087399922,6938.213087399922,334.5020312789502,334.5020312789502,334.5020312789502,334.5020312789502,334.5020312789502,334.5020312789502,0.0,0.0,0.0,7272.715118678872
2017-01-07,7003.002467148808,-11780.468119785133,13615.072782960955,7003.002467148808,7003.002467148808,-5651.245458961554,-5651.245458961554,-5651.245458961554,-5651.245458961554,-5651.245458961554,-5651.245458961554,0.0,0.0,0.0,1351.7570081872545
2017-01-08,7067.791846897693,-10745.703061964265,14629.35913866109,7067.791846897693,7067.791846897693,-4473.224692346093,-4473.224692346093,-4473.224692346093,-4473.224692346093,-4473.224692346093,-4473.224692346093,0.0,0.0,0.0,2594.5671545515997
2017-01-09,7132.581226646579,-2704.56276714698,23500.474881383296,7132.581226646579,7132.581226646579,3353.760548955597,3353.760548955597,3353.760548955597,3353.760548955597,3353.760548955597,3353.760548955597,0.0,0.0,0.0,10486.341775602177
2017-01-10,7197.370606395464,-1120.93673676097,23343.591824048224,7197.370606395464,7197.370606395464,3102.3150428816593,3102.3150428816593,3102.3150428816593,3102.3150428816593,3102.3150428816593,3102.3150428816593,0.0,0.0,0.0,10299.685649277124
2017-01-11,7262.15998614435,-2826.6117901096272,21893.14396460058,7262.15998614435,7262.15998614435,2283.0625598095935,2283.0625598095935,2283.0625598095935,2283.0625598095935,2283.0625598095935,2283.0625598095935,0.0,0.0,0.0,9545.222545953944
2017-01-12,7326.949365893235,-4618.8254159211265,21464.641518400727,7326.949365893235,7326.949365893235,1050.8299683928838,1050.8299683928838,1050.8299683928838,1050.8299683928838,1050.8299683928838,1050.8299683928838,0.0,0.0,0.0,8377.779334286119
2017-01-13,7391.738745642121,-4874.759200020898,20601.15069384135,7391.738745642121,7391.738745642121,334.502031274065,334.502031274065,334.502031274065,334.502031274065,334.502031274065,334.502031274065,0.0,0.0,0.0,7726.240776916186
2017-01-14,7456.528125391006,-10829.16735114781,14758.031745311351,7456.528125391006,7456.528125391006,-5651.245458969118,-5651.245458969118,-5651.245458969118,-5651.245458969118,-5651.245458969118,-5651.245458969118,0.0,0.0,0.0,1805.2826664218883
2017-01-15,7528.760100509147,-9627.282320561868,16222.361568031436,7528.760100509147,7528.760100509147,-4473.22469233693,-4473.22469233693,-4473.22469233693,-4473.22469233693,-4473.22469233693,-4473.22469233693,0.0,0.0,0.0,3055.535408172217
2017-01-16,7600.992075627289,-1180.1951073763212,24027.475984060773,7600.992075627289,7600.992075627289,3353.7605489497832,3353.7605489497832,3353.7605489497832,3353.7605489497832,3353.7605489497832,3353.7605489497832,0.0,0.0,0.0,10954.752624577071
2017-01-17,7673.224050745428,-2318.703964240376,22454.398620495795,7673.224050745428,7673.224050745428,3102.315042881632,3102.315042881632,3102.315042881632,3102.315042881632,3102.315042881632,3102.315042881632,0.0,0.0,0.0,10775.53909362706
2017-01-18,7745.45602586357,-2926.5663870950493,22467.630747891537,7745.45602586357,7745.45602586357,2283.062559809243,2283.062559809243,2283.062559809243,2283.062559809243,2283.062559809243,2283.062559809243,0.0,0.0,0.0,10028.518585672813
2017-01-19,7817.688000981711,-4351.487905935648,22222.59883134454,7817.688000981711,7817.688000981711,1050.8299683941436,1050.8299683941436,1050.8299683941436,1050.8299683941436,1050.8299683941436,1050.8299683941436,0.0,0.0,0.0,8868.517969375855
2017-01-20,7889.919976099853,-5476.271981218631,20718.76329087027,7889.919976099853,7889.919976099853,334.50203127462527,334.50203127462527,334.50203127462527,334.50203127462527,334.50203127462527,334.50203127462527,0.0,0.0,0.0,8224.422007374478
2017-01-21,7962.151951217995,-10439.924362776579,16304.358826590998,7962.151951217995,7962.151951217995,-5651.245458956665,-5651.245458956665,-5651.245458956665,-5651.245458956665,-5651.245458956665,-5651.245458956665,0.0,0.0,0.0,2310.9064922613297
2017-01-22,8034.383926336136,-9525.526787040573,15339.033250098557,8034.383926336136,8034.383926336136,-4473.22469237056,-4473.22469237056,-4473.22469237056,-4473.22469237056,-4473.22469237056,-4473.22469237056,0.0,0.0,0.0,3561.1592339655763
2017-01-23,8106.615901454278,-1358.5912795869244,24253.2383019039,8106.615901454278,8106.615901454278,3353.7605489547473,3353.7605489547473,3353.7605489547473,3353.7605489547473,3353.7605489547473,3353.7605489547473,0.0,0.0,0.0,11460.376450409025
2017-01-24,8178.847876572417,-1477.3663385971317,24516.317750771937,8178.847876572417,8178.847876572417,3102.315042879417,3102.315042879417,3102.315042879417,3102.315042879417,3102.315042879417,3102.315042879417,0.0,0.0,0.0,11281.162919451834
2017-01-25,8251.079851690562,-1966.289697103323,23172.144714566235,8251.079851690562,8251.079851690562,2283.0625598088923,2283.0625598088923,2283.0625598088923,2283.0625598088923,2283.0625598088923,2283.0625598088923,0.0,0.0,0.0,10534.142411499453
2017-01-26,8323.3118268087,-3369.3657596837393,21887.836886836998,8323.3118268087,8323.3118268087,1050.8299683906678,1050.8299683906678,1050.8299683906678,1050.8299683906678,1050.8299683906678,1050.8299683906678,0.0,0.0,0.0,9374.141795199368
2017-01-27,8395.543801926842,-4706.1725684423645,20901.246245797003,8395.543801926842,8395.543801926842,334.5020312797793,334.5020312797793,334.5020312797793,334.5020312797793,334.5020312797793,334.5020312797793,0.0,0.0,0.0,8730.045833206621
2017-01-28,8467.775777044983,-9547.43335632486,15982.951499244156,8467.775777044983,8467.775777044983,-5651.245458964231,-5651.245458964231,-5651.245458964231,-5651.245458964231,-5651.245458964231,-5651.245458964231,0.0,0.0,0.0,2816.5303180807514
2017-01-29,8540.007752163125,-8100.656984369167,16927.478316515022,8540.007752163125,8540.007752163125,-4473.224692361397,-4473.224692361397,-4473.224692361397,-4473.224692361397,-4473.224692361397,-4473.224692361397,0.0,0.0,0.0,4066.783059801728
